ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:    21 Apr 09 11:36:56 lut

    Satellite         AOS Time (lut)      LOS Time (lut)    Max El
AO-07               24 Apr 09 05:15:32  24 Apr 09 05:31:51    13ø
AO-07               24 Apr 09 07:03:52  24 Apr 09 07:26:06    69ø
AO-07               24 Apr 09 08:58:29  24 Apr 09 09:18:07    22ø
AO-07               24 Apr 09 19:09:51  24 Apr 09 19:30:10    28ø
AO-07               24 Apr 09 21:02:13  24 Apr 09 21:24:02    57ø
AO-07               24 Apr 09 22:56:44  24 Apr 09 23:11:33    10ø

RS-22               21 Apr 09 12:19:27  21 Apr 09 12:26:26     4ø
RS-22               21 Apr 09 20:04:44  21 Apr 09 20:14:00     7ø
RS-22               21 Apr 09 21:39:01  21 Apr 09 21:52:54    89ø
RS-22               21 Apr 09 23:19:25  21 Apr 09 23:28:19     6ø
RS-22               22 Apr 09 09:39:13  22 Apr 09 09:52:11    28ø
RS-22               22 Apr 09 11:16:43  22 Apr 09 11:29:11    24ø
RS-22               22 Apr 09 20:39:23  22 Apr 09 20:51:35    20ø
RS-22               22 Apr 09 22:15:54  22 Apr 09 22:29:17    35ø
RS-22               23 Apr 09 08:40:41  23 Apr 09 08:48:03     4ø
RS-22               23 Apr 09 10:15:30  23 Apr 09 10:29:15    73ø
RS-22               23 Apr 09 11:54:08  23 Apr 09 12:04:06     9ø
RS-22               23 Apr 09 19:42:53  23 Apr 09 19:48:22     2ø
RS-22               23 Apr 09 21:15:01  23 Apr 09 21:28:36    47ø
RS-22               23 Apr 09 22:53:42  23 Apr 09 23:05:07    14ø
RS-22               24 Apr 09 09:15:31  24 Apr 09 09:27:10    15ø
RS-22               24 Apr 09 10:52:14  24 Apr 09 11:05:34    42ø
RS-22               24 Apr 09 12:32:55  24 Apr 09 12:37:13     1ø
RS-22               24 Apr 09 20:16:18  24 Apr 09 20:26:48    11ø
RS-22               24 Apr 09 21:51:28  24 Apr 09 22:05:15    66ø
RS-22               24 Apr 09 23:33:03  24 Apr 09 23:39:44     3ø
RS-22               25 Apr 09 09:51:26  25 Apr 09 10:04:49    38ø
RS-22               25 Apr 09 11:29:18  25 Apr 09 11:41:05    18ø
RS-22               25 Apr 09 20:51:21  25 Apr 09 21:04:09    26ø

fo-29               21 Apr 09 12:16:30  21 Apr 09 12:34:13    21ø
fo-29               21 Apr 09 20:40:29  21 Apr 09 20:56:05    22ø
fo-29               21 Apr 09 22:24:17  21 Apr 09 22:41:38    50ø
fo-29               22 Apr 09 00:15:25  22 Apr 09 00:22:54     3ø
fo-29               22 Apr 09 09:36:10  22 Apr 09 09:55:52    32ø
fo-29               22 Apr 09 11:20:58  22 Apr 09 11:41:19    49ø
fo-29               22 Apr 09 13:08:03  22 Apr 09 13:20:52     8ø
fo-29               22 Apr 09 19:48:44  22 Apr 09 19:59:55     7ø
fo-29               22 Apr 09 21:29:19  22 Apr 09 21:46:51    54ø
fo-29               22 Apr 09 23:15:52  22 Apr 09 23:31:07    19ø
fo-29               23 Apr 09 08:42:52  23 Apr 09 08:58:09    11ø
fo-29               23 Apr 09 10:25:59  23 Apr 09 10:46:55    74ø
fo-29               23 Apr 09 12:11:47  23 Apr 09 12:29:46    22ø
fo-29               23 Apr 09 20:35:49  23 Apr 09 20:51:29    21ø
fo-29               23 Apr 09 22:19:25  23 Apr 09 22:37:06    54ø
fo-29               24 Apr 09 00:09:57  24 Apr 09 00:18:51     4ø
fo-29               24 Apr 09 09:31:37  24 Apr 09 09:51:04    30ø
fo-29               24 Apr 09 11:16:19  24 Apr 09 11:36:43    52ø
fo-29               24 Apr 09 13:03:17  24 Apr 09 13:16:34     8ø
fo-29               24 Apr 09 19:44:12  24 Apr 09 19:55:16     7ø
fo-29               24 Apr 09 21:24:33  24 Apr 09 21:42:17    51ø
fo-29               24 Apr 09 23:10:52  24 Apr 09 23:26:40    21ø
fo-29               25 Apr 09 08:38:28  25 Apr 09 08:53:09    10ø

SO-50               21 Apr 09 11:38:59  21 Apr 09 11:48:06     7ø
SO-50               21 Apr 09 13:16:53  21 Apr 09 13:30:17    77ø
SO-50               21 Apr 09 15:00:05  21 Apr 09 15:09:57     8ø
SO-50               21 Apr 09 20:13:25  21 Apr 09 20:20:59     4ø
SO-50               21 Apr 09 21:52:23  21 Apr 09 22:06:08    37ø
SO-50               21 Apr 09 23:33:20  21 Apr 09 23:46:07    21ø
SO-50               22 Apr 09 12:06:14  22 Apr 09 12:18:36    26ø
SO-50               22 Apr 09 13:46:41  22 Apr 09 13:59:21    26ø
SO-50               22 Apr 09 15:32:42  22 Apr 09 15:37:45     2ø
SO-50               22 Apr 09 20:41:38  22 Apr 09 20:53:03    12ø
SO-50               22 Apr 09 22:21:32  22 Apr 09 22:35:44    79ø
SO-50               23 Apr 09 00:04:09  23 Apr 09 00:12:58     6ø
SO-50               23 Apr 09 10:57:45  23 Apr 09 11:05:29     5ø
SO-50               23 Apr 09 12:34:49  23 Apr 09 12:48:12    82ø
SO-50               23 Apr 09 14:17:29  23 Apr 09 14:28:04    11ø
SO-50               23 Apr 09 19:31:43  23 Apr 09 19:38:01     3ø
SO-50               23 Apr 09 21:10:22  23 Apr 09 21:23:51    30ø
SO-50               23 Apr 09 22:51:06  23 Apr 09 23:04:21    27ø
SO-50               24 Apr 09 11:24:28  24 Apr 09 11:36:21    20ø
SO-50               24 Apr 09 13:04:24  24 Apr 09 13:17:21    33ø
SO-50               24 Apr 09 14:49:38  24 Apr 09 14:56:10     3ø
SO-50               24 Apr 09 19:59:45  24 Apr 09 20:10:29    10ø
SO-50               24 Apr 09 21:39:27  24 Apr 09 21:53:40    81ø

AO-51               21 Apr 09 18:41:27  21 Apr 09 18:54:44    27ø
AO-51               21 Apr 09 20:20:23  21 Apr 09 20:33:17    25ø
AO-51               22 Apr 09 05:51:31  22 Apr 09 06:04:55    26ø
AO-51               22 Apr 09 07:30:02  22 Apr 09 07:43:51    29ø
AO-51               22 Apr 09 18:03:07  22 Apr 09 18:13:45    10ø
AO-51               22 Apr 09 19:40:40  22 Apr 09 19:54:43    65ø
AO-51               22 Apr 09 21:21:43  22 Apr 09 21:29:28     5ø
AO-51               23 Apr 09 05:13:56  23 Apr 09 05:24:42    10ø
AO-51               23 Apr 09 06:50:12  23 Apr 09 07:04:47    75ø
AO-51               23 Apr 09 08:32:48  23 Apr 09 08:41:16     5ø
AO-51               23 Apr 09 17:28:06  23 Apr 09 17:29:06     0ø
AO-51               23 Apr 09 19:01:22  23 Apr 09 19:15:18    46ø
AO-51               23 Apr 09 20:40:54  23 Apr 09 20:52:41    16ø
AO-51               24 Apr 09 04:38:22  24 Apr 09 04:43:05     1ø
AO-51               24 Apr 09 06:11:12  24 Apr 09 06:25:17    42ø
AO-51               24 Apr 09 07:50:55  24 Apr 09 08:03:35    18ø
AO-51               24 Apr 09 18:22:36  24 Apr 09 18:34:58    18ø
AO-51               24 Apr 09 20:01:00  24 Apr 09 20:14:36    39ø
AO-51               24 Apr 09 21:43:45  24 Apr 09 21:46:55     1ø
AO-51               25 Apr 09 05:33:05  25 Apr 09 05:45:22    17ø
AO-51               25 Apr 09 07:10:34  25 Apr 09 07:24:49    45ø
AO-51               25 Apr 09 08:56:39  25 Apr 09 08:58:23     0ø
AO-51               25 Apr 09 17:44:54  25 Apr 09 17:53:09     5ø

VO-52               21 Apr 09 12:03:17  21 Apr 09 12:07:25     1ø
VO-52               21 Apr 09 22:13:03  21 Apr 09 22:25:47    32ø
VO-52               21 Apr 09 23:49:37  22 Apr 09 00:01:10    19ø
VO-52               22 Apr 09 09:05:35  22 Apr 09 09:16:41    17ø
VO-52               22 Apr 09 10:40:53  22 Apr 09 10:53:18    34ø
VO-52               22 Apr 09 20:59:11  22 Apr 09 21:03:08     1ø
VO-52               22 Apr 09 22:31:29  22 Apr 09 22:44:38    54ø
VO-52               23 Apr 09 00:08:39  23 Apr 09 00:18:57    12ø
VO-52               23 Apr 09 09:23:34  23 Apr 09 09:35:36    26ø
VO-52               23 Apr 09 10:59:56  23 Apr 09 11:11:36    21ø
VO-52               23 Apr 09 21:15:49  23 Apr 09 21:24:06     5ø
VO-52               23 Apr 09 22:50:01  23 Apr 09 23:03:18    88ø
VO-52               24 Apr 09 00:27:53  24 Apr 09 00:36:23     7ø
VO-52               24 Apr 09 08:11:18  24 Apr 09 08:14:42     1ø
VO-52               24 Apr 09 09:41:45  24 Apr 09 09:54:23    43ø
VO-52               24 Apr 09 11:19:16  24 Apr 09 11:29:43    12ø
VO-52               24 Apr 09 21:33:32  24 Apr 09 21:43:58    11ø
VO-52               24 Apr 09 23:08:40  24 Apr 09 23:21:46    53ø
VO-52               25 Apr 09 00:47:35  25 Apr 09 00:53:15     2ø
VO-52               25 Apr 09 08:27:32  25 Apr 09 08:34:55     5ø
VO-52               25 Apr 09 10:00:09  25 Apr 09 10:13:04    75ø
VO-52               25 Apr 09 11:39:00  25 Apr 09 11:47:31     6ø
VO-52               25 Apr 09 21:51:35  25 Apr 09 22:03:24    19ø

noaa-15             21 Apr 09 16:00:49  21 Apr 09 16:07:32     3ø
noaa-15             21 Apr 09 17:37:18  21 Apr 09 17:52:33    55ø
noaa-15             21 Apr 09 19:17:55  21 Apr 09 19:30:43    16ø
noaa-15             22 Apr 09 03:18:42  22 Apr 09 03:27:36     6ø
noaa-15             22 Apr 09 04:54:23  22 Apr 09 05:09:31    61ø
noaa-15             22 Apr 09 06:36:02  22 Apr 09 06:48:19    13ø
noaa-15             22 Apr 09 17:13:36  22 Apr 09 17:28:15    32ø
noaa-15             22 Apr 09 18:53:35  22 Apr 09 19:07:43    27ø
noaa-15             23 Apr 09 02:57:50  23 Apr 09 03:01:44     1ø
noaa-15             23 Apr 09 04:30:53  23 Apr 09 04:45:26    36ø
noaa-15             23 Apr 09 06:11:06  23 Apr 09 06:25:01    23ø
noaa-15             23 Apr 09 16:50:08  23 Apr 09 17:03:34    19ø
noaa-15             23 Apr 09 18:29:25  23 Apr 09 18:44:23    45ø
noaa-15             23 Apr 09 20:12:05  23 Apr 09 20:18:55     3ø
noaa-15             24 Apr 09 04:07:41  24 Apr 09 04:21:11    22ø
noaa-15             24 Apr 09 05:46:35  24 Apr 09 06:01:26    40ø
noaa-15             24 Apr 09 16:26:59  24 Apr 09 16:38:24    10ø
noaa-15             24 Apr 09 18:05:23  24 Apr 09 18:20:45    78ø
noaa-15             24 Apr 09 19:46:51  24 Apr 09 19:57:12     8ø
noaa-15             25 Apr 09 03:44:52  25 Apr 09 03:56:46    13ø
noaa-15             25 Apr 09 05:22:25  25 Apr 09 05:37:40    71ø
noaa-15             25 Apr 09 07:06:18  25 Apr 09 07:15:02     5ø
noaa-15             25 Apr 09 16:04:34  25 Apr 09 16:12:21     4ø

NOAA-17             21 Apr 09 11:51:29  21 Apr 09 11:59:54     4ø
NOAA-17             21 Apr 09 20:49:34  21 Apr 09 20:57:52     4ø
NOAA-17             21 Apr 09 22:26:47  21 Apr 09 22:42:03    66ø
NOAA-17             22 Apr 09 00:07:41  22 Apr 09 00:19:50    14ø
NOAA-17             22 Apr 09 08:07:49  22 Apr 09 08:17:45     7ø
NOAA-17             22 Apr 09 09:44:06  22 Apr 09 09:59:24    73ø
NOAA-17             22 Apr 09 11:26:21  22 Apr 09 11:37:59    11ø
NOAA-17             22 Apr 09 22:03:43  22 Apr 09 22:18:33    38ø
NOAA-17             22 Apr 09 23:43:58  22 Apr 09 23:57:38    23ø
NOAA-17             23 Apr 09 07:46:56  23 Apr 09 07:53:10     2ø
NOAA-17             23 Apr 09 09:21:10  23 Apr 09 09:36:03    43ø
NOAA-17             23 Apr 09 11:01:55  23 Apr 09 11:15:27    20ø
NOAA-17             23 Apr 09 21:40:49  23 Apr 09 21:54:43    23ø
NOAA-17             23 Apr 09 23:20:26  23 Apr 09 23:35:04    37ø
NOAA-17             24 Apr 09 01:04:02  24 Apr 09 01:08:29     1ø
NOAA-17             24 Apr 09 08:58:32  24 Apr 09 09:12:33    26ø
NOAA-17             24 Apr 09 10:37:58  24 Apr 09 10:52:38    33ø
NOAA-17             24 Apr 09 21:18:11  24 Apr 09 21:30:29    13ø
NOAA-17             24 Apr 09 22:57:02  24 Apr 09 23:12:13    63ø
NOAA-17             25 Apr 09 00:39:02  25 Apr 09 00:48:01     6ø
NOAA-17             25 Apr 09 08:36:13  25 Apr 09 08:48:54    16ø
NOAA-17             25 Apr 09 10:14:23  25 Apr 09 10:29:36    56ø
NOAA-17             25 Apr 09 11:59:25  25 Apr 09 12:06:12     3ø

NOAA-18             21 Apr 09 13:08:58  21 Apr 09 13:19:41     7ø
NOAA-18             21 Apr 09 14:47:45  21 Apr 09 15:03:45    82ø
NOAA-18             21 Apr 09 16:29:43  21 Apr 09 16:41:50    12ø
NOAA-18             22 Apr 09 00:32:54  22 Apr 09 00:45:07    13ø
NOAA-18             22 Apr 09 02:11:11  22 Apr 09 02:26:59    77ø
NOAA-18             22 Apr 09 03:55:38  22 Apr 09 04:05:32     6ø
NOAA-18             22 Apr 09 12:59:07  22 Apr 09 13:08:08     5ø
NOAA-18             22 Apr 09 14:37:14  22 Apr 09 14:53:10    65ø
NOAA-18             22 Apr 09 16:18:54  22 Apr 09 16:31:52    15ø
NOAA-18             23 Apr 09 00:23:00  23 Apr 09 00:34:16    10ø
NOAA-18             23 Apr 09 02:00:38  23 Apr 09 02:16:27    85ø
NOAA-18             23 Apr 09 03:44:14  23 Apr 09 03:55:34     9ø
NOAA-18             23 Apr 09 12:49:37  23 Apr 09 12:56:12     2ø
NOAA-18             23 Apr 09 14:26:44  23 Apr 09 14:42:32    52ø
NOAA-18             23 Apr 09 16:08:07  23 Apr 09 16:21:49    19ø
NOAA-18             24 Apr 09 00:13:12  24 Apr 09 00:23:20     7ø
NOAA-18             24 Apr 09 01:50:09  24 Apr 09 02:05:53    68ø
NOAA-18             24 Apr 09 03:32:57  24 Apr 09 03:45:27    13ø
NOAA-18             24 Apr 09 14:16:16  24 Apr 09 14:31:50    41ø
NOAA-18             24 Apr 09 15:57:23  24 Apr 09 16:11:42    24ø
NOAA-18             25 Apr 09 00:03:34  25 Apr 09 00:12:17     5ø
NOAA-18             25 Apr 09 01:39:43  25 Apr 09 01:55:17    54ø
NOAA-18             25 Apr 09 03:21:51  25 Apr 09 03:35:15    16ø

NOAA-19             21 Apr 09 14:02:56  21 Apr 09 14:17:14    22ø
NOAA-19             21 Apr 09 15:43:21  21 Apr 09 15:58:39    41ø
NOAA-19             21 Apr 09 17:27:15  21 Apr 09 17:33:33     2ø
NOAA-19             22 Apr 09 01:26:33  22 Apr 09 01:41:28    30ø
NOAA-19             22 Apr 09 03:07:07  22 Apr 09 03:22:17    31ø
NOAA-19             22 Apr 09 13:52:55  22 Apr 09 14:06:35    18ø
NOAA-19             22 Apr 09 15:33:02  22 Apr 09 15:48:35    51ø
NOAA-19             22 Apr 09 17:16:17  22 Apr 09 17:24:29     4ø
NOAA-19             23 Apr 09 01:16:38  23 Apr 09 01:31:04    25ø
NOAA-19             23 Apr 09 02:56:39  23 Apr 09 03:12:10    39ø
NOAA-19             23 Apr 09 13:42:59  23 Apr 09 13:55:50    14ø
NOAA-19             23 Apr 09 15:22:44  23 Apr 09 15:38:28    63ø
NOAA-19             23 Apr 09 17:05:28  23 Apr 09 17:15:11     6ø
NOAA-19             24 Apr 09 01:06:47  24 Apr 09 01:20:40    20ø
NOAA-19             24 Apr 09 02:46:15  24 Apr 09 03:02:01    49ø
NOAA-19             24 Apr 09 04:33:06  24 Apr 09 04:38:49     2ø
NOAA-19             24 Apr 09 13:33:07  24 Apr 09 13:44:59    10ø
NOAA-19             24 Apr 09 15:12:28  24 Apr 09 15:28:17    79ø
NOAA-19             24 Apr 09 16:54:49  24 Apr 09 17:05:43     9ø
NOAA-19             25 Apr 09 00:57:00  25 Apr 09 01:10:13    16ø
NOAA-19             25 Apr 09 02:35:54  25 Apr 09 02:51:50    61ø
NOAA-19             25 Apr 09 04:21:22  25 Apr 09 04:29:44     4ø
NOAA-19             25 Apr 09 13:23:22  25 Apr 09 13:33:59     7ø
